@relation 'CR17filtered-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.Resample-S1-Z7.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,7,9-10,12-19'

@attribute Description {'DOMESTIC BATTERY SIMPLE','FINANCIAL IDENTITY THEFT OVER $ 300','HARASSMENT BY ELECTRONIC MEANS','SELL/GIVE/DEL LIQUOR TO MINOR','FROM BUILDING','OVER $500','TO LAND',SIMPLE,'TO VEHICLE','TELEPHONE THREAT','FORCIBLE ENTRY','FINANCIAL IDENTITY THEFT $300 AND UNDER','OTHER OFFENSE','TO PROPERTY','$500 AND UNDER',POCKET-PICKING,'COUNTERFEIT CHECK','AGGRAVATED: OTHER DANG WEAPON','AGGRAVATED: OTHER','AGG PRO.EMP:KNIFE/CUTTING INST','CHILD ABDUCTION','COMPUTER FRAUD','OTHER VEHICLE OFFENSE',AUTOMOBILE,'OTHER CRIME INVOLVING PROPERTY','TO CITY OF CHICAGO PROPERTY','STRONGARM - NO WEAPON','UNLAWFUL ENTRY','HARASSMENT BY TELEPHONE','AGGRAVATED: HANDGUN','ARMED: HANDGUN','ILLEGAL USE CASH CARD','ENDANGERING LIFE/HEALTH CHILD','TRUCK, BUS, MOTOR HOME','RETAIL THEFT','AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST','POSS: AMPHETAMINES','POSS: CANNABIS 30GMS OR LESS','PAROLE VIOLATION','SEX OFFENDER: FAIL TO REGISTER','AGGRAVATED:KNIFE/CUTTING INSTR','FALSE/STOLEN/ALTERED TRP','VIOLATE ORDER OF PROTECTION','THEFT OF LABOR/SERVICES','SOLICIT ON PUBLIC WAY','AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON','FALSE POLICE REPORT','UNLAWFUL USE HANDGUN',PREDATORY,'FRAUD OR CONFIDENCE GAME','MANU/DELIVER: HEROIN (WHITE)','POSS: HEROIN(WHITE)',MANU/DELIVER:CRACK,'FOUND SUSPECT NARCOTICS','VEHICULAR HIJACKING',NON-AGGRAVATED,'MANU/DEL:CANNABIS 10GM OR LESS','CRIMINAL DEFACEMENT','FIRST DEGREE MURDER','CREDIT CARD FRAUD','ATTEMPT THEFT','UNLAWFUL POSS OF HANDGUN','SOLICIT NARCOTICS ON PUBLICWAY','ARMED:KNIFE/CUTTING INSTRUMENT','POSS: COCAINE','POSS: CRACK','OBSTRUCTING IDENTIFICATION','VEHICLE TITLE/REG OFFENSE',AGGRAVATED,'MANU/DEL:CANNABIS OVER 10 GMS','AGGRAVATED PO: OTHER DANG WEAP','OTHER VIOLATION',OTHER,'MANU/DELIVER: HEROIN(BRN/TAN)','GUN OFFENDER: DUTY TO REGISTER','UNLAWFUL USE OTHER FIREARM','ATTEMPT: ARMED-HANDGUN','RECKLESS CONDUCT','POSS: SYNTHETIC DRUGS','PROHIBITED PLACES','ATTEMPT FORCIBLE ENTRY','POSS: CANNABIS MORE THAN 30GMS','AGGRAVATED VEHICULAR HIJACKING','TO STATE SUP LAND','SEX OFFENDER: FAIL REG NEW ADD','POSS: HALLUCINOGENS',PURSE-SNATCHING,'AGG CRIMINAL SEXUAL ABUSE','BY FIRE','TO RESIDENCE','RESIST/OBSTRUCT/DISARM OFFICER','CALL OPERATION','CHILD ABUSE','THEFT OF LOST/MISLAID PROP','BOGUS CHECK','OTHER CRIME AGAINST PERSON','ATT: AUTOMOBILE','AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY','UNAUTHORIZED VIDEOTAPING','ARMED: OTHER DANGEROUS WEAPON','CYCLE, SCOOTER, BIKE NO VIN','LICENSE VIOLATION','ABUSE/NEGLECT: CARE FACILITY','POSS: PCP','GUN OFFENDER: ANNUAL REGISTRATION','AGGRAVATED FINANCIAL IDENTITY THEFT','POSS: BARBITUATES','THEFT/RECOVERY: TRUCK,BUS,MHOME','HOME INVASION','AGG SEX ASSLT OF CHILD FAM MBR','AGG PO HANDS NO/MIN INJURY','ATTEMPT: STRONGARM-NO WEAPON','AGG PRO.EMP: HANDGUN','THEFT/RECOVERY: AUTOMOBILE','CHILD ABDUCTION/STRANGER','CYCLE, SCOOTER, BIKE W-VIN','GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION','PROBATION VIOLATION','POSSESSION OF BURGLARY TOOLS','ATT CRIM SEXUAL ABUSE','PRO EMP HANDS NO/MIN INJURY','UNLAWFUL RESTRAINT','ARSONIST: FAIL TO REGISTER NEW ADDRESS','AGG CRIM SEX ABUSE FAM MEMBER','OBSTRUCTING JUSTICE',GAME/DICE,'OTHER WEAPONS VIOLATION','POSS: HEROIN(BRN/TAN)',INTIMIDATION,'RECKLESS FIREARM DISCHARGE',FORGERY,'COUNTERFEITING DOCUMENT','AGGRAVATED OF A CHILD','OTHER PROSTITUTION OFFENSE','AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM','POSS FIREARM/AMMO:NO FOID CARD','LIQUOR LICENSE VIOLATION','OBSTRUCTING SERVICE','POSSESSION OF DRUG EQUIPMENT','ATTEMPT: ARMED-OTHER DANG WEAP','ATTEMPT - FINANCIAL IDENTITY THEFT','CRIMINAL SEXUAL ABUSE','FINAN EXPLOIT-ELDERLY/DISABLED','ATTEMPT NON-AGGRAVATED','POSS: METHAMPHETAMINES','AGG: HANDS/FIST/FEET NO/MINOR INJURY','ATTEMPT: ARMED-OTHER FIREARM','ARMED: OTHER FIREARM','TO STATE SUP PROP','PUBLIC INDECENCY','SEX ASSLT OF CHILD BY FAM MBR','SEXUAL EXPLOITATION OF A CHILD','AGGRAVATED: OTHER FIREARM','AGG: HANDS/FIST/FEET SERIOUS INJURY','AGGRAVATED OF A SENIOR CITIZEN','UNLAWFUL USE OF A COMPUTER','VIOLENT OFFENDER: DUTY TO REGISTER','CHILD PORNOGRAPHY','LOST PASSPORT','VIOLENT OFFENDER: ANNUAL REGISTRATION','VIOLATION OF CIVIL NO CONTACT ORDER','ATTEMPT: ARMED-KNIFE/CUT INSTR','TAMPER WITH MOTOR VEHICLE','TO AIRPORT','VIO BAIL BOND: DOM VIOLENCE','FORFEIT PROPERTY','UNLAWFUL POSS OTHER FIREARM','THEFT BY LESSEE,MOTOR VEH','AGG PO HANDS ETC SERIOUS INJ','CHILD ABANDONMENT','ANIMAL ABUSE/NEGLECT','ARMED WHILE UNDER THE INFLUENCE','BOMB THREAT','INDECENT SOLICITATION/CHILD','UNLAWFUL INTERFERE/VISITATION','ATT AGG CRIMINAL SEXUAL ABUSE','ARSON THREAT','UNLAWFUL USE OTHER DANG WEAPON','OBSCENE MATTER','AGG PRO.EMP: OTHER DANG WEAPON',MANU/DELIVER:BARBITUATES,'POSSESSION: SYNTHETIC MARIJUANA','ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN','ARSONIST: DUTY TO REGISTER','PEEPING TOM','ATTEMPT ARSON','SOLICIT FOR BUSINESS',EMBEZZLEMENT,'CRIM SEX ABUSE BY FAM MEMBER','UNLAWFUL POSS AMMUNITION','AGGRAVATED PO: HANDGUN','BOARD PLANE WITH WEAPON','MOB ACTION','SECOND DEGREE MURDER','MANU/DELIVER: METHAMPHETAMINES','ATTEMPT: AGGRAVATED','SEX RELATION IN FAMILY','OBSCENE TELEPHONE CALLS','DELIVERY CONTAINER THEFT','BY EXPLOSIVE','CAB OPERATION',MANU/DELIVER:PCP,'AGGRAVATED: KNIFE/CUT INSTR','AGGRAVATED PO: KNIFE/CUT INSTR','FORCIBLE DETENTION','AGGRAVATED PO:KNIFE/CUT INSTR','OF UNBORN CHILD','INTERFERENCE JUDICIAL PROCESS','PAY TV SERVICE OFFENSES','UNLAWFUL USE OF RECORDED SOUND','AGGRAVATED OF A UNBORN CHILD','ALTER/FORGE PRESCRIPTION','POS: HYPODERMIC NEEDLE','FALSE FIRE ALARM','UNLAWFUL USE/SALE AIR RIFLE',EXTORTION,EAVESDROPPING,'CONTRIBUTE DELINQUENCY OF A CHILD','THEFT BY LESSEE,NON-VEH','DECEPTIVE COLLECTION PRACTICES','VIOLATION OF STALKING NO CONTACT ORDER','POS: PORNOGRAPHIC PRINT','MONEY LAUNDERING',MANU/DELIVER:COCAINE,'FROM COIN-OP MACHINE/DEVICE','AGGRAVATED DOMESTIC BATTERY: HANDGUN',GAME/CARDS,'DELIVER CANNABIS TO PERSON <18','COMMERCIAL SEX ACTS','TO FIRE FIGHT.APP.EQUIP','CONTRIBUTE CRIM DELINQUENCY JUVENILE','VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS','FOUND PASSPORT','AGG PRO EMP HANDS SERIOUS INJ','SOLICIT FOR PROSTITUTE','INTOXICATING COMPOUNDS','DEL CONT SUBS TO PERSON <18','MANU/DELIVER: HALLUCINOGEN',KIDNAPPING,'CANNABIS PLANT','VIOLATION GPS MONITORING DEVICE','POSS: HEROIN(BLACK TAR)','INSTITUTIONAL VANDALISM','CRIMINAL DRUG CONSPIRACY',OBSCENITY,'ILLEGAL POSSESSION BY MINOR','INVOLUNTARY SERVITUDE','VIOLATION OF SMOKING BAN','NOTIFICATION OF CIVIL NO CONTACT ORDER','ILLEGAL CONSUMPTION BY MINOR','SALE/DIST OBSCENE MAT TO MINOR','ATTEMPT POSSESSION NARCOTICS','ATTEMPT AGG: HANDGUN','INDECENT SOLICITATION/ADULT','UNLAWFUL SALE HANDGUN',CYBERSTALKING,'STOLEN PROP: BUY/RECEIVE/POS.','PUBLIC DEMONSTRATION','SEX OFFENDER: PROHIBITED ZONE','MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA',IMPERSONATION,'ILLEGAL POSSESSION CASH CARD','LICENSED PREMISE','MANU/DELIVER:SYNTHETIC DRUGS','ARSONIST: ANNUAL REGISTRATION','HARBOR RUNAWAY','INTERFERE W/ HIGHER EDUCATION','ATTEMPT AGG: OTHER','SALE/DEL DRUG PARAPHERNALIA',BRIBERY,'POS: EXPLOSIVE/INCENDIARY DEV','RECKLESS HOMICIDE','SOLICIT OFF PUBLIC WAY','LIBRARY VANDALISM',MANU/DELIVER:AMPHETAMINES,'POSS: LOOK-ALIKE DRUGS','KEEP PLACE OF PROSTITUTION',ESCAPE}
@attribute Arrest {false,true}
@attribute Beat numeric
@attribute Community.Area numeric

@data
'THEFT/RECOVERY: AUTOMOBILE',false,2515,19
'TO PROPERTY',false,2531,25
'TO PROPERTY',false,1011,29
'$500 AND UNDER',true,1512,25
SIMPLE,false,1831,8
PURSE-SNATCHING,false,611,71
'$500 AND UNDER',false,1922,6
AGGRAVATED,false,1434,22
SIMPLE,true,624,69
'CREDIT CARD FRAUD',false,1732,21
'FORCIBLE ENTRY',false,1212,24
'UNLAWFUL POSS OF HANDGUN',true,614,71
'RETAIL THEFT',false,1432,22
'CREDIT CARD FRAUD',false,1231,28
'POSS: HEROIN(WHITE)',true,713,67
SIMPLE,false,1021,29
'TO PROPERTY',false,2523,21
'AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON',false,2532,25
SIMPLE,false,324,43
'FROM BUILDING',false,1722,15
SIMPLE,true,712,68
AGGRAVATED,false,612,71
'TO RESIDENCE',true,532,53
'FINANCIAL IDENTITY THEFT OVER $ 300',false,2013,77
AUTOMOBILE,false,1411,21
AUTOMOBILE,false,1122,26
SIMPLE,false,934,61
SIMPLE,true,333,43
SIMPLE,false,1634,15
'HOME INVASION',true,1434,24
SIMPLE,true,2211,72
'$500 AND UNDER',false,915,34
MANU/DELIVER:BARBITUATES,true,921,58
'RETAIL THEFT',true,1822,8
POCKET-PICKING,false,1925,6
'$500 AND UNDER',false,313,42
'OVER $500',false,1221,23
'RETAIL THEFT',true,513,51
'THEFT/RECOVERY: AUTOMOBILE',true,712,68
'TO VEHICLE',false,1434,24
'FINANCIAL IDENTITY THEFT OVER $ 300',false,114,32
'OVER $500',false,114,32
SIMPLE,false,1112,23
'TELEPHONE THREAT',false,1624,15
'FORCIBLE ENTRY',false,2521,19
'UNLAWFUL USE HANDGUN',true,1012,29
'VEHICLE TITLE/REG OFFENSE',true,632,44
'AGGRAVATED: HANDGUN',true,124,28
'POSS: CANNABIS MORE THAN 30GMS',true,123,32
'FROM BUILDING',false,611,71
'AGGRAVATED: HANDGUN',false,1122,23
MANU/DELIVER:CRACK,true,1011,29
'AGGRAVATED: HANDGUN',false,1423,24
'FALSE/STOLEN/ALTERED TRP',false,1032,30
'FOUND SUSPECT NARCOTICS',true,722,68
SIMPLE,true,1235,31
'TO PROPERTY',false,1632,17
'CRIMINAL SEXUAL ABUSE',false,1215,24
'$500 AND UNDER',false,835,70
'UNLAWFUL POSS OF HANDGUN',true,331,43
'AGGRAVATED: HANDGUN',false,2534,23
'FORCIBLE ENTRY',false,633,44
'AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST',false,223,38
'SOLICIT ON PUBLIC WAY',true,512,49
'OVER $500',false,722,68
'OTHER VEHICLE OFFENSE',false,1712,14
'HARASSMENT BY ELECTRONIC MEANS',false,513,49
'TO LAND',true,621,44
'LICENSE VIOLATION',false,1113,26
'AGGRAVATED: HANDGUN',false,925,37
AUTOMOBILE,false,2523,20
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1913,3
'DOMESTIC BATTERY SIMPLE',false,1723,14
'HARASSMENT BY TELEPHONE',false,1821,8
'TO PROPERTY',false,834,70
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1711,12
'FROM BUILDING',false,112,32
'OVER $500',false,1712,14
'$500 AND UNDER',false,1222,27
'FORCIBLE ENTRY',false,313,42
'FROM BUILDING',false,2531,25
'OVER $500',false,1814,7
'THEFT OF LABOR/SERVICES',false,2433,77
'FROM BUILDING',false,112,32
'UNLAWFUL ENTRY',false,1424,24
'TO VEHICLE',false,932,61
SIMPLE,true,132,33
'TO VEHICLE',false,1023,30
'RETAIL THEFT',true,1021,29
'DOMESTIC BATTERY SIMPLE',false,915,60
'FORCIBLE ENTRY',false,2011,2
AUTOMOBILE,false,2514,19
'TO LAND',true,1222,27
'TO PROPERTY',false,1524,25
'ATTEMPT NON-AGGRAVATED',false,421,46
'$500 AND UNDER',false,1034,30
'TO VEHICLE',false,1011,29
'TO VEHICLE',false,1724,16
'UNLAWFUL POSS OF HANDGUN',true,1112,23
'RETAIL THEFT',false,1214,24
'TO VEHICLE',false,2524,22
'DOMESTIC BATTERY SIMPLE',true,1414,22
'PRO EMP HANDS NO/MIN INJURY',false,1221,23
'OVER $500',true,611,71
'DOMESTIC BATTERY SIMPLE',true,2223,73
'OVER $500',false,614,71
'HARASSMENT BY TELEPHONE',false,632,44
'DOMESTIC BATTERY SIMPLE',true,634,49
'OVER $500',false,1414,22
FORGERY,false,634,49
'DOMESTIC BATTERY SIMPLE',false,1022,29
'OVER $500',false,111,32
SIMPLE,false,312,42
'THEFT OF LABOR/SERVICES',false,831,66
SIMPLE,false,333,43
'AGGRAVATED: HANDGUN',false,711,68
'$500 AND UNDER',false,332,43
SIMPLE,false,621,44
'FROM BUILDING',false,1833,8
'DOMESTIC BATTERY SIMPLE',false,222,39
AUTOMOBILE,false,623,69
'$500 AND UNDER',false,1111,23
'HARASSMENT BY TELEPHONE',false,2412,2
'ARMED: HANDGUN',false,1225,28
SIMPLE,false,1432,22
'AGGRAVATED: OTHER FIREARM',false,933,61
'OVER $500',false,621,71
SIMPLE,false,732,68
SIMPLE,false,224,38
'PAROLE VIOLATION',true,1533,25
'FALSE/STOLEN/ALTERED TRP',false,1911,5
'DOMESTIC BATTERY SIMPLE',false,834,70
'HARASSMENT BY ELECTRONIC MEANS',false,2411,2
'FINANCIAL IDENTITY THEFT OVER $ 300',false,512,49
SIMPLE,false,1023,31
'TO LAND',true,1421,22
'TO PROPERTY',false,322,69
'AGGRAVATED:KNIFE/CUTTING INSTR',false,1014,29
'PRO EMP HANDS NO/MIN INJURY',true,223,39
'CREDIT CARD FRAUD',false,211,35
SIMPLE,false,1531,25
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1115,26
'FORCIBLE ENTRY',false,422,46
'RECKLESS CONDUCT',true,624,69
'$500 AND UNDER',false,214,36
'POSS: CANNABIS MORE THAN 30GMS',true,1034,31
'FINANCIAL IDENTITY THEFT OVER $ 300',false,532,53
'ARMED: HANDGUN',true,1812,7
'VEHICLE TITLE/REG OFFENSE',true,522,53
'OVER $500',false,732,68
'AGGRAVATED: OTHER DANG WEAPON',false,1121,23
'OVER $500',false,634,49
'TO VEHICLE',false,1235,31
SIMPLE,false,1923,6
'TO RESIDENCE',false,621,71
'AGGRAVATED: OTHER DANG WEAPON',false,1133,27
'FROM BUILDING',false,421,43
'TO VEHICLE',false,1433,24
SIMPLE,true,733,68
SIMPLE,true,422,46
'OVER $500',false,2514,19
'THEFT/RECOVERY: AUTOMOBILE',true,323,69
'TO PROPERTY',false,1834,8
AUTOMOBILE,false,1925,6
'STRONGARM - NO WEAPON',false,511,49
'TO PROPERTY',false,432,52
'TO LAND',true,1132,26
'DOMESTIC BATTERY SIMPLE',false,1533,25
'TO STATE SUP LAND',true,321,42
'TO PROPERTY',false,824,63
'SOLICIT ON PUBLIC WAY',true,511,49
'DOMESTIC BATTERY SIMPLE',false,523,53
SIMPLE,false,232,40
'FROM BUILDING',false,111,32
FORGERY,false,834,70
'RETAIL THEFT',false,112,32
'FINANCIAL IDENTITY THEFT OVER $ 300',false,122,32
'TO VEHICLE',false,1433,24
'FROM BUILDING',false,1834,8
'$500 AND UNDER',false,1433,24
'FROM BUILDING',false,2411,2
'AGGRAVATED: HANDGUN',false,511,49
'RETAIL THEFT',true,622,44
'FALSE/STOLEN/ALTERED TRP',true,114,32
'TO LAND',false,111,32
'AGGRAVATED:KNIFE/CUTTING INSTR',false,1522,25
SIMPLE,true,925,61
'RESIST/OBSTRUCT/DISARM OFFICER',true,1631,17
'COMPUTER FRAUD',false,1614,76
'DOMESTIC BATTERY SIMPLE',false,1533,25
'RETAIL THEFT',true,624,69
'UNLAWFUL POSS OF HANDGUN',true,613,71
'FORCIBLE ENTRY',false,232,40
'TO PROPERTY',false,1121,23
'BY FIRE',false,1711,13
'CHILD ABDUCTION/STRANGER',false,1935,7
'TO PROPERTY',false,1434,24
'HARASSMENT BY TELEPHONE',false,312,42
AUTOMOBILE,false,835,70
'UNLAWFUL ENTRY',false,724,68
SIMPLE,false,1831,8
'POSS: HEROIN(WHITE)',true,1133,27
SIMPLE,false,1831,8
AUTOMOBILE,false,2511,18
'OVER $500',false,121,28
'UNLAWFUL POSS OF HANDGUN',true,432,52
'TO PROPERTY',false,1612,9
'DOMESTIC BATTERY SIMPLE',false,1511,25
'OVER $500',false,1712,14
'TELEPHONE THREAT',false,813,65
'ARMED: HANDGUN',false,1522,25
'DOMESTIC BATTERY SIMPLE',false,2522,20
'AGGRAVATED:KNIFE/CUTTING INSTR',false,324,43
'FORCIBLE ENTRY',false,2524,22
'STRONGARM - NO WEAPON',false,1121,23
'ARMED: HANDGUN',false,314,42
'TO VEHICLE',false,734,67
'TO PROPERTY',false,1634,15
SIMPLE,false,723,68
'TO STATE SUP LAND',true,133,35
'OBSTRUCTING IDENTIFICATION',true,533,54
'CREDIT CARD FRAUD',false,1822,8
SIMPLE,false,432,52
'UNLAWFUL ENTRY',false,313,42
'TO FIRE FIGHT.APP.EQUIP',false,213,38
'TO PROPERTY',false,1622,10
'$500 AND UNDER',false,815,57
'RETAIL THEFT',true,2031,4
'$500 AND UNDER',false,1424,24
'DOMESTIC BATTERY SIMPLE',false,333,43
'DOMESTIC BATTERY SIMPLE',false,711,68
'AGGRAVATED: OTHER DANG WEAPON',false,2023,77
'FROM BUILDING',false,2221,73
'$500 AND UNDER',false,511,49
'TO PROPERTY',false,1911,4
'DOMESTIC BATTERY SIMPLE',true,722,68
'$500 AND UNDER',false,2535,23
'ARMED: HANDGUN',false,2533,23
AUTOMOBILE,false,1722,16
'UNLAWFUL ENTRY',false,1231,28
'STRONGARM - NO WEAPON',false,1221,23
'FINANCIAL IDENTITY THEFT OVER $ 300',false,723,68
'FALSE/STOLEN/ALTERED TRP',true,2033,3
'$500 AND UNDER',false,1224,28
'TO VEHICLE',false,1935,7
SIMPLE,false,1824,8
'FROM BUILDING',false,212,35
'COUNTERFEITING DOCUMENT',false,1215,24
'VEHICULAR HIJACKING',false,1213,24
'TO VEHICLE',false,2422,1
'DOMESTIC BATTERY SIMPLE',false,522,49
'FROM BUILDING',false,1013,29
'DOMESTIC BATTERY SIMPLE',false,1722,16
'TO VEHICLE',false,623,69
SIMPLE,true,831,66
SIMPLE,true,1014,29
'VIOLATE ORDER OF PROTECTION',false,1532,25
PREDATORY,false,314,42
'TELEPHONE THREAT',false,533,54
'UNLAWFUL USE HANDGUN',false,1225,28
